gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
923925638	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/959034/original.JPG	https://www.inaturalist.org/photos/959034					2014-06-28T10:47:40Z	Jillie Drutz		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jillie Drutz
923925638	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/959033/original.JPG	https://www.inaturalist.org/photos/959033					2014-06-28T10:47:39Z	Jillie Drutz		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jillie Drutz
923925638	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/959032/original.JPG	https://www.inaturalist.org/photos/959032					2014-06-28T10:47:23Z	Jillie Drutz		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jillie Drutz
899964773	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/774762/original.jpg	https://www.inaturalist.org/photos/774762					2014-04-07T14:07:56Z	Charles R Berenguer Jr		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Charles R Berenguer Jr
899955066	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/744938/original.jpg	https://www.inaturalist.org/photos/744938					2014-03-23T12:19:32Z	Charles R Berenguer Jr		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Charles R Berenguer Jr
899953136	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/739638/original.jpg	https://www.inaturalist.org/photos/739638					2014-03-23T12:22:02Z	Charles R Berenguer Jr		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Charles R Berenguer Jr
899953136	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/738055/original.jpg	https://www.inaturalist.org/photos/738055					2014-03-23T12:26:41Z	Charles R Berenguer Jr		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Charles R Berenguer Jr
899953136	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/739237/original.jpg	https://www.inaturalist.org/photos/739237					2014-03-23T12:17:59Z	Charles R Berenguer Jr		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Charles R Berenguer Jr
891739021	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/493171/original.jpg	https://www.inaturalist.org/photos/493171					2011-04-20T08:59:17Z	David Yeany		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Yeany
891148744	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/320159/original.jpg	http://www.flickr.com/photos/briangratwicke/8717412826/					2013-05-06T15:36:45Z	Brian Gratwicke		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Brian Gratwicke
863242821	StillImage	image/jpeg	https://mczbase.mcz.harvard.edu/specimen_images/fish/large/160406_Anguilla_rostrata.jpg		MCZ:Ich:160406 Anguilla rostrata lateral	lateral						Museum of Comparative Zoology, Harvard University	http://creativecommons.org/licenses/by-nc-sa/3.0/	© President and Fellows of Harvard College
863242821	StillImage	image/jpeg	https://mczbase.mcz.harvard.edu/specimen_images/fish/thumbnails/160406_Anguilla_rostrata.jpg		MCZ:Ich:160406 Anguilla rostrata lateral	lateral						Museum of Comparative Zoology, Harvard University	http://creativecommons.org/licenses/by-nc-sa/3.0/	© President and Fellows of Harvard College
583471562	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1406026580290RUaEhUeIKTUnUGWq										http://creativecommons.org/licenses/by-nc-nd/4.0/	
4015115359	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/251260520/original.jpeg	https://www.inaturalist.org/photos/251260520					2023-01-08T16:28:10Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
4015115359	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/251260489/original.jpeg	https://www.inaturalist.org/photos/251260489					2023-01-08T16:28:10Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
4015115359	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/251260507/original.jpeg	https://www.inaturalist.org/photos/251260507					2023-01-08T16:28:10Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
4014996795	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/250489972/original.jpg	https://www.inaturalist.org/photos/250489972					2023-01-02T23:37:09Z	sylshessa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sylshessa
4014996795	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/250490045/original.jpg	https://www.inaturalist.org/photos/250490045					2023-01-02T23:37:09Z	sylshessa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sylshessa
4014996795	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/250489997/original.jpg	https://www.inaturalist.org/photos/250489997					2023-01-02T23:37:09Z	sylshessa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sylshessa
4014996795	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/250490062/original.jpg	https://www.inaturalist.org/photos/250490062					2023-01-02T23:37:09Z	sylshessa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sylshessa
4014996795	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/250489953/original.jpg	https://www.inaturalist.org/photos/250489953					2023-01-02T23:37:09Z	sylshessa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sylshessa
4014996795	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/250489984/original.jpg	https://www.inaturalist.org/photos/250489984					2023-01-02T23:37:09Z	sylshessa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sylshessa
4014996795	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/250490020/original.jpg	https://www.inaturalist.org/photos/250490020					2023-01-02T23:37:09Z	sylshessa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sylshessa
4014996795	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/250490032/original.jpg	https://www.inaturalist.org/photos/250490032					2023-01-02T23:37:09Z	sylshessa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sylshessa
4011668713	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/249517663/original.jpeg	https://www.inaturalist.org/photos/249517663					2022-08-03T07:22:40Z	Colin O'Neil		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Colin O'Neil
4011610727	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/249452195/original.jpeg	https://www.inaturalist.org/photos/249452195					2022-08-02T07:13:50Z	Colin O'Neil		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Colin O'Neil
4011525782	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/249525853/original.jpeg	https://www.inaturalist.org/photos/249525853					2022-12-28T20:36:14Z	Rick Racioppo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rick Racioppo
