gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3456368061	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/174667701/original.jpeg	https://www.inaturalist.org/photos/174667701					2021-12-27T23:18:09Z	Karen Weaving		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Karen Weaving
3456368061	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/174667759/original.jpg	https://www.inaturalist.org/photos/174667759					2021-12-28T00:16:56Z	Karen Weaving		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Karen Weaving
3456181144	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/171734141/original.jpeg	https://www.inaturalist.org/photos/171734141					2021-12-06T19:47:59Z	Darcy Whittaker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Darcy Whittaker
3456060632	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/173160076/original.jpg	https://www.inaturalist.org/photos/173160076					2011-03-08T04:36:45Z	Martin Bennett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Martin Bennett
3455911483	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/171241354/original.jpg	https://www.inaturalist.org/photos/171241354					2021-12-03T23:32:44Z	cinclosoma		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cinclosoma
3455911483	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/171241387/original.jpg	https://www.inaturalist.org/photos/171241387					2021-12-03T23:32:44Z	cinclosoma		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cinclosoma
3455779739	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/174888389/original.jpg	https://www.inaturalist.org/photos/174888389					2022-01-04T21:50:10Z	cinclosoma		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cinclosoma
3455764300	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/170730538/original.jpeg	https://www.inaturalist.org/photos/170730538					2021-11-30T05:11:43Z	David Cunningham		iNaturalist	http://creativecommons.org/licenses/by-nd/4.0/	David Cunningham
3455701927	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/170702030/original.jpg	https://www.inaturalist.org/photos/170702030					2007-07-03T20:06:04Z	Ken Harris EntSocVic		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ken Harris EntSocVic
3455701927	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/170702035/original.jpg	https://www.inaturalist.org/photos/170702035					2007-07-03T20:09:21Z	Ken Harris EntSocVic		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ken Harris EntSocVic
3455701927	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/170702019/original.jpg	https://www.inaturalist.org/photos/170702019					2007-07-03T20:04:21Z	Ken Harris EntSocVic		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ken Harris EntSocVic
3455616325	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172746996/original.jpg	https://www.inaturalist.org/photos/172746996					2021-12-19T01:01:37Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3455616325	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172746849/original.jpg	https://www.inaturalist.org/photos/172746849					2021-12-19T01:13:50Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3455616325	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172906509/original.jpg	https://www.inaturalist.org/photos/172906509					2021-12-19T01:01:34Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3455586157	StillImage	image/jpeg	https://static.inaturalist.org/photos/156847511/original.jpg	https://www.inaturalist.org/photos/156847511					2021-09-11T21:44:42Z	Brendan McIntyre		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Brendan McIntyre
3455586157	StillImage	image/jpeg	https://static.inaturalist.org/photos/156761663/original.jpg	https://www.inaturalist.org/photos/156761663					2021-09-11T21:44:42Z	Brendan McIntyre		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Brendan McIntyre
3455586157	StillImage	image/jpeg	https://static.inaturalist.org/photos/156847502/original.jpg	https://www.inaturalist.org/photos/156847502					2021-09-11T21:44:42Z	Brendan McIntyre		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Brendan McIntyre
3455586157	StillImage	image/jpeg	https://static.inaturalist.org/photos/156847523/original.jpg	https://www.inaturalist.org/photos/156847523					2021-09-11T21:44:42Z	Brendan McIntyre		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Brendan McIntyre
3455586157	StillImage	image/jpeg	https://static.inaturalist.org/photos/156847538/original.jpg	https://www.inaturalist.org/photos/156847538					2021-09-11T21:44:42Z	Brendan McIntyre		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Brendan McIntyre
3455586157	StillImage	image/jpeg	https://static.inaturalist.org/photos/156761761/original.jpg	https://www.inaturalist.org/photos/156761761					2021-09-11T21:44:42Z	Brendan McIntyre		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Brendan McIntyre
3455555942	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/175463380/original.jpeg	https://www.inaturalist.org/photos/175463380					2022-01-09T04:11:24Z	liznoble		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	liznoble
3455555743	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/175373283/original.jpg	https://www.inaturalist.org/photos/175373283					2022-01-09T20:20:04Z	deborod		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	deborod
3455555743	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/175373277/original.jpg	https://www.inaturalist.org/photos/175373277					2022-01-09T20:20:26Z	deborod		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	deborod
3455555743	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/175373275/original.jpg	https://www.inaturalist.org/photos/175373275					2022-01-09T20:20:04Z	deborod		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	deborod
3455501188	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/173684431/original.jpg	https://www.inaturalist.org/photos/173684431					2021-12-26T22:47:20Z	cinclosoma		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cinclosoma
3455441710	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172730219/original.jpg	https://www.inaturalist.org/photos/172730219					2021-12-15T17:44:51Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3455441710	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172730176/original.jpg	https://www.inaturalist.org/photos/172730176					2021-12-15T17:44:40Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3455441710	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172730133/original.jpg	https://www.inaturalist.org/photos/172730133					2021-12-15T17:30:31Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3455441710	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172438781/original.jpg	https://www.inaturalist.org/photos/172438781					2021-12-15T17:52:45Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3455441710	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172438744/original.jpg	https://www.inaturalist.org/photos/172438744					2021-12-15T17:52:36Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3455354038	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/170553902/original.jpg	https://www.inaturalist.org/photos/170553902					2021-11-27T23:48:54Z	David Cunningham		iNaturalist	http://creativecommons.org/licenses/by-nd/4.0/	David Cunningham
3415983488	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/169195447/original.jpeg	https://www.inaturalist.org/photos/169195447					2021-11-10T17:10:30Z	lukewaggs		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lukewaggs
3415943240	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/167533874/original.jpg	https://www.inaturalist.org/photos/167533874					2021-11-06T06:55:45Z	bonniefelice		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bonniefelice
3415943240	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/167533895/original.jpg	https://www.inaturalist.org/photos/167533895					2021-11-06T06:55:45Z	bonniefelice		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bonniefelice
3415909542	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/122927264/original.jpg	https://www.inaturalist.org/photos/122927264					2021-04-05T15:45:58Z	spacegecko		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	spacegecko
3415909542	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/122927272/original.jpg	https://www.inaturalist.org/photos/122927272					2021-04-05T15:46:25Z	spacegecko		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	spacegecko
3415909542	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/122927271/original.jpg	https://www.inaturalist.org/photos/122927271					2021-04-05T15:46:28Z	spacegecko		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	spacegecko
3415909542	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/122927253/original.jpg	https://www.inaturalist.org/photos/122927253					2021-04-05T15:45:33Z	spacegecko		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	spacegecko
3415909542	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/122927254/original.jpg	https://www.inaturalist.org/photos/122927254					2021-04-05T15:45:31Z	spacegecko		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	spacegecko
3415621353	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/40838290/original.jpeg	https://www.inaturalist.org/photos/40838290					2014-04-10T00:00:00Z	mitchsmith		iNaturalist	http://creativecommons.org/licenses/by-nc-nd/4.0/	mitchsmith
3415621353	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/40838294/original.jpeg	https://www.inaturalist.org/photos/40838294					2014-04-10T00:00:00Z	mitchsmith		iNaturalist	http://creativecommons.org/licenses/by-nc-nd/4.0/	mitchsmith
