species,event_date,lat,lon,coordinate_uncertainty_in_meters
Cherax tenuimanus,1958-11-18T00:00:00Z,-34.9,118.1,10000
Cherax tenuimanus,NA,-33.4,115.9,10000
Cherax tenuimanus,NA,-34.3,117,10000
Cherax tenuimanus,1912-11-28T00:00:00Z,-35,117.4,10000
Cherax tenuimanus,1912-11-29T00:00:00Z,-16.9,128.2,10000
Cherax tenuimanus,NA,-34.4,116.3,10000
Cherax tenuimanus,NA,-33.4,116,10000
Cherax tenuimanus,NA,-27.233333,152.416667,NA
Anguilla rostrata,2014-08-01T03:30:00Z,19.3462,-81.3918,100
Anguilla rostrata,1976-09-18T00:00:00Z,31.258056,-87.976389,NA
Anguilla rostrata,1985-11-05T00:00:00Z,32.591944,-86.242778,NA
Anguilla rostrata,1987-10-19T00:00:00Z,32.596667,-86.246389,NA
Anguilla rostrata,1987-10-19T00:00:00Z,32.584444,-86.239444,NA
Anguilla rostrata,1984-12-11T00:00:00Z,32.579167,-86.235833,NA
Anguilla rostrata,1983-07-25T00:00:00Z,32.61429,-86.25416,NA
Anguilla rostrata,1986-06-29T00:00:00Z,33.228056,-86.226389,NA
Anguilla rostrata,1984-06-14T00:00:00Z,32.582778,-86.238333,NA
Anguilla rostrata,1983-02-18T00:00:00Z,32.578611,-86.235278,NA
Anguilla rostrata,1983-04-28T00:00:00Z,32.582222,-86.238333,NA
Anguilla rostrata,1958-06-16T00:00:00Z,30.330556,-86.165,NA
Anguilla rostrata,1965-07-21T00:00:00Z,30.682778,-89.208611,NA
Anguilla rostrata,1983-06-10T00:00:00Z,32.616944,-86.256111,NA
Anguilla rostrata,1990-08-03T00:00:00Z,34.305278,-84.376389,NA
Anguilla rostrata,1987-07-20T00:00:00Z,32.596667,-86.246389,NA
Anguilla rostrata,2000-07-23T00:00:00Z,31.119444,-88.165556,NA
Anguilla rostrata,2000-10-08T00:00:00Z,31.619722,-87.842222,NA
Anguilla rostrata,2000-08-07T00:00:00Z,30.753333,-85.193333,NA
Anguilla rostrata,2000-08-22T00:00:00Z,35.566389,-78.161111,NA
Anguilla rostrata,2000-09-07T00:00:00Z,33.273611,-87.754167,NA
Anguilla rostrata,2000-08-09T00:00:00Z,29.853056,-82.608611,NA
Anguilla rostrata,2000-08-24T00:00:00Z,32.29,-81.118333,NA
Anguilla rostrata,2000-08-23T00:00:00Z,34.761389,-78.408889,NA
Anguilla rostrata,2000-08-22T00:00:00Z,35.899444,-77.865833,NA
Anguilla rostrata,2000-08-22T00:00:00Z,35.578889,-78.1725,NA
Anguilla rostrata,2000-03-31T00:00:00Z,39.623056,-76.164167,NA
Anguilla rostrata,1999-07-08T00:00:00Z,38.560556,-76.854444,NA
Anguilla rostrata,1996-08-16T00:00:00Z,36.9925,-77.3925,NA
Anguilla rostrata,1993-07-13T00:00:00Z,31.913889,-87.359444,NA
Anguilla rostrata,1990-07-17T00:00:00Z,32.520278,-85.891389,NA
Anguilla rostrata,1990-10-02T00:00:00Z,31.614722,-87.551667,NA
Anguilla rostrata,1990-05-26T00:00:00Z,30.881667,-87.8625,NA
Anguilla rostrata,1978-10-12T00:00:00Z,32.591667,-88.218611,NA
Anguilla rostrata,1990-06-30T00:00:00Z,37.8375,-77.890833,NA
Anguilla rostrata,1988-05-09T00:00:00Z,35.456944,-80.711389,NA
Anguilla rostrata,1981-10-05T00:00:00Z,34.3525,-78.666389,NA
Anguilla rostrata,1986-09-28T00:00:00Z,34.233889,-77.918889,NA
Anguilla rostrata,1987-08-21T00:00:00Z,35.844167,-78.75,NA
Anguilla rostrata,1981-08-16T00:00:00Z,33.917778,-78.160556,NA
Anguilla rostrata,1986-09-27T00:00:00Z,34.032222,-78.285,NA
Anguilla rostrata,1981-10-05T00:00:00Z,34.139167,-78.4225,NA
Anguilla rostrata,1983-09-25T00:00:00Z,34.567778,-79.255556,NA
Anguilla rostrata,1981-10-05T00:00:00Z,34.158333,-78.485556,NA
Anguilla rostrata,1982-05-16T00:00:00Z,35.545278,-78.167222,NA
Anguilla rostrata,1981-05-19T00:00:00Z,34.220556,-77.8425,NA
Anguilla rostrata,1983-09-25T00:00:00Z,34.255,-78.500278,NA
Anguilla rostrata,1980-10-18T00:00:00Z,34.006389,-78.272222,NA
Anguilla rostrata,1983-09-25T00:00:00Z,34.034167,-78.293889,NA
Anguilla rostrata,1980-10-19T00:00:00Z,34.164722,-78.582222,NA
Anguilla rostrata,1978-10-14T00:00:00Z,34.2375,-77.921389,NA
Anguilla rostrata,1978-10-14T00:00:00Z,34.781944,-78.43,NA
Anguilla rostrata,1989-08-19T00:00:00Z,32.319444,-86.763611,NA
Anguilla rostrata,1971-04-08T00:00:00Z,30.534722,-86.467778,NA
Anguilla rostrata,1980-05-20T00:00:00Z,33.025556,-82.088333,NA
Anguilla rostrata,1979-04-28T00:00:00Z,34.997222,-79.774167,NA
Anguilla rostrata,1973-08-14T00:00:00Z,31.1675,-87.896111,NA
Anguilla rostrata,1984-10-12T00:00:00Z,33.019167,-87.078333,NA
Anguilla rostrata,1981-08-27T00:00:00Z,31.339444,-89.279722,NA
Anguilla rostrata,1981-08-26T00:00:00Z,31.346389,-89.280556,NA
Anguilla rostrata,1980-05-23T00:00:00Z,34.287778,-78.508611,NA
Anguilla rostrata,1980-05-19T00:00:00Z,33.471667,-81.652222,NA
Anguilla rostrata,1980-05-21T00:00:00Z,32.564167,-81.715,NA
Anguilla rostrata,1980-10-22T00:00:00Z,31.044722,-87.178611,NA
Anguilla rostrata,1980-05-29T00:00:00Z,31.044722,-87.178611,NA
Anguilla rostrata,1980-03-17T00:00:00Z,31.020556,-87.207222,NA
Anguilla rostrata,1979-09-19T00:00:00Z,30.533889,-86.4675,NA
Anguilla rostrata,1977-10-31T00:00:00Z,30.528056,-86.466667,NA
Anguilla rostrata,1977-09-06T00:00:00Z,30.505833,-86.523889,NA
Anguilla rostrata,1977-07-25T00:00:00Z,30.554167,-86.374167,NA
Anguilla rostrata,1977-04-12T00:00:00Z,30.3775,-86.14,NA
Anguilla rostrata,1977-05-24T00:00:00Z,30.505833,-86.523889,NA
Anguilla rostrata,1977-07-26T00:00:00Z,30.528056,-86.466667,NA
Anguilla rostrata,1977-09-05T00:00:00Z,30.528056,-86.466667,NA
Anguilla rostrata,1977-04-13T00:00:00Z,30.545,-86.378889,NA
Anguilla rostrata,1977-04-11T00:00:00Z,30.528056,-86.466667,NA
Anguilla rostrata,1977-04-11T00:00:00Z,30.536667,-86.470833,NA
Anguilla rostrata,1977-07-25T00:00:00Z,30.500278,-86.425,NA
