gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
3901980455																										5c8ae692-e012-4e9b-9a94-212a7468f1e4										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	5c8ae692-e012-4e9b-9a94-212a7468f1e4	C5260		Aldrich, F.		1											PRESENT								167-36												19/11/1936				1936	11	19		Freshwater														Australia	AU	Western Australia																-33.9	115.1	EPSG:4326	10000.0																																																			https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901980209																										a6f20df4-ec72-41ba-8c63-8641a8cdbb1f										UNSPECIFIED			1997-06-26															PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	a6f20df4-ec72-41ba-8c63-8641a8cdbb1f	C219		Shenton, C.E.		1			FEMALE								PRESENT								4561-11												12/9/1911				1911	9	12		Freshwater														Australia	AU	Western Australia																-32.8	115.7	EPSG:4326	10000.0																																																			https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901980023																										a435f93b-4301-4d2f-ad97-e8c93ec9df70										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	a435f93b-4301-4d2f-ad97-e8c93ec9df70	C50406		Carrier|, D.|Williams|, H.													PRESENT																				27/12/1962				1962	12	27		Freshwater														Australia	AU	Western Australia																-33.8	116.0	EPSG:4326	10000.0																																						Bathgate, D.G.													https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901979476																										9bdf32ab-46f9-4805-bd5e-21a70f27dda2										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	9bdf32ab-46f9-4805-bd5e-21a70f27dda2	C6334		Thompson, J.A.		1											PRESENT								219-47												1/5/1947				1947	5	1		Freshwater														Australia	AU	Western Australia																-35.0	117.4	EPSG:4326	10000.0																																																			https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901972465																										ce1e7d8f-ab12-4969-89d7-efb536cb5fcf										UNSPECIFIED			1997-06-26															PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	ce1e7d8f-ab12-4969-89d7-efb536cb5fcf	C213		Shenton, C.E.		1			FEMALE								PRESENT								4555-11												12/9/1911				1911	9	12		Freshwater														Australia	AU	Western Australia																-32.8	115.7	EPSG:4326	10000.0																																																			https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901972374																										cc9c9455-db97-4915-bca3-1a78c1248aea										UNSPECIFIED			1997-06-27															PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	cc9c9455-db97-4915-bca3-1a78c1248aea	C229		Shenton, C.E.					MALE								PRESENT								4573-11												21/9/1911				1911	9	21		Freshwater														Australia	AU	Western Australia																-32.8	115.7	EPSG:4326	10000.0																																																			https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901971753																										9095b4da-71bf-46d2-b8cd-bf9c3ac41e91										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	9095b4da-71bf-46d2-b8cd-bf9c3ac41e91	C209		Shenton, C.E.													PRESENT								4551-11												12/9/1911				1911	9	12		Freshwater														Australia	AU	Western Australia																-32.8	115.7	EPSG:4326	10000.0																																																			https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901970494																										b8ce5045-1f76-4d67-82a9-201117d9d849										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	b8ce5045-1f76-4d67-82a9-201117d9d849	C20117		Coy, N.		1											PRESENT								95-90												5/3/1990				1990	3	5		Freshwater	n													Australia	AU	Western Australia																-34.9	118.2	EPSG:4326	10000.0																																						Morgan, G.J.		1990-01-01											https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901970004																										53d12c94-cd01-47d1-8bfa-423a958423d0										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	53d12c94-cd01-47d1-8bfa-423a958423d0	C13924		Austin, C.M.		7											PRESENT								177-85												17/5/1981				1981	5	17		Freshwater														Australia	AU	Western Australia																-34.4	115.7	EPSG:4326	10000.0																																						Austin, C.M.													https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901969009																										27ed44b4-7e78-4c27-94d5-b0775e1c534e										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	27ed44b4-7e78-4c27-94d5-b0775e1c534e	C5275		Buckingham		1			FEMALE								PRESENT								185-36												2/12/1936				1936	12	2		Freshwater														Australia	AU	Western Australia																-34.4	116.1	EPSG:4326	10000.0																																																			https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
