gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2434399205	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/RMNH.CRUS.D.42905/format/large			RMNH.CRUS.D.42905_0							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2434377739	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/RMNH.CRUS.D.31629/format/large			RMNH.CRUS.D.31629_0							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2434359443	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/RMNH.CRUS.D.25547/format/large			RMNH.CRUS.D.25547_0							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
1322271871	StillImage	image/jpeg	http://n2t.net/ark:/65665/m36b1990a7-b1de-40f7-a445-e04d742d0cbb		TAX CRT 118816 card					Karen Reed		Smithsonian Institution, NMNH, Invertebrate Zoology	http://creativecommons.org/publicdomain/zero/1.0/	
1057245310	StillImage	image/jpeg	https://data.nhm.ac.uk/media/4be525bd-d581-4d55-8530-c7a35e80f203		Zoology Accessions Register: Crustacea: 1935 - 1962: page 22								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1056385301	StillImage	image/jpeg	https://data.nhm.ac.uk/media/b2468621-9eab-4562-890d-49aab9a297bc		Zoology Accessions Register: Crustacea: 1905 - 1935: page 91								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1056265517	StillImage	image/jpeg	https://data.nhm.ac.uk/media/b2468621-9eab-4562-890d-49aab9a297bc		Zoology Accessions Register: Crustacea: 1905 - 1935: page 91								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1055504500	StillImage	image/jpeg	https://data.nhm.ac.uk/media/9fafd47b-4af1-4d1d-895b-eabaac290dbf		Zoology Accessions Register: Crustacea: 1962 - 1969: page 140								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
